% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 24 2017, 10:40"
% Table,Probes {tbl3} - 
% sensor_w,heater_w,l,"Dependent variable U (1), Effect Ratio {avh1}","Dependent variable T (1), Normal_Temp {avh2}"
1.5E-7,2.0E-7,4.0E-7,-0.021144691659026913,0.6892774630275185
1.5E-7,2.25E-7,1.0E-7,0.34040699318104095,0.707284355006263
1.5E-7,2.25E-7,1.5E-7,0.20034566781988372,0.7072843550062154
1.5E-7,2.25E-7,2.0E-7,0.11157518117816329,0.7072843550062294
1.5E-7,2.25E-7,2.5E-7,0.05571377341079071,0.707284355006235
1.5E-7,2.25E-7,3.0E-7,0.019380778483697927,0.7072843550062304
1.5E-7,2.25E-7,3.5E-7,-0.005223307292114364,0.7072843550062237
1.5E-7,2.25E-7,4.0E-7,-0.022529825274048874,0.7072843550062275
1.5E-7,2.5E-7,1.0E-7,0.38210746608403856,0.7227338643287222
1.5E-7,2.5E-7,1.5E-7,0.23677647055817075,0.7227338643286983
1.5E-7,2.5E-7,2.0E-7,0.13790230335318643,0.7227338643287968
1.5E-7,2.5E-7,2.5E-7,0.07270626370587178,0.72273386432875
1.5E-7,2.5E-7,3.0E-7,0.028993920639625827,0.7227338643287222
1.5E-7,2.5E-7,3.5E-7,-0.0012137095617252402,0.7227338643286896
1.5E-7,2.5E-7,4.0E-7,-0.022761699516166772,0.7227338643286525
1.5E-7,2.75E-7,1.0E-7,0.4192494565707486,0.7361614430316985
1.5E-7,2.75E-7,1.5E-7,0.2717797386456004,0.736161443031613
1.5E-7,2.75E-7,2.0E-7,0.16485966799175486,0.7361614430316215
1.5E-7,2.75E-7,2.5E-7,0.09113625092953555,0.7361614430316203
1.5E-7,2.75E-7,3.0E-7,0.04018728237399739,0.7361614430317109
1.5E-7,2.75E-7,3.5E-7,0.004240166022281166,0.7361614430315899
1.5E-7,2.75E-7,4.0E-7,-0.021779482239107716,0.7361614430316172
1.5E-7,3.0E-7,1.0E-7,0.4520927953171696,0.7479676329771013
1.5E-7,3.0E-7,1.5E-7,0.30480997423557216,0.7479676329770507
1.5E-7,3.0E-7,2.0E-7,0.191825495034094,0.7479676329770293
1.5E-7,3.0E-7,2.5E-7,0.11057545428778298,0.7479676329769925
1.5E-7,3.0E-7,3.0E-7,0.05273534059953293,0.7479676329769891
1.5E-7,3.0E-7,3.5E-7,0.01106431377600815,0.7479676329770173
1.5E-7,3.0E-7,4.0E-7,-0.019554316864679896,0.7479676329770156
1.5E-7,3.2499999999999996E-7,1.0E-7,0.4812336143274153,0.7584371643744914
1.5E-7,3.2499999999999996E-7,1.5E-7,0.33574371971953293,0.7584371643745378
1.5E-7,3.2499999999999996E-7,2.0E-7,0.21842909314094228,0.7584371643745758
1.5E-7,3.2499999999999996E-7,2.5E-7,0.13069347572457105,0.7584371643746228
1.5E-7,3.2499999999999996E-7,3.0E-7,0.06641823945520423,0.7584371643745395
1.5E-7,3.2499999999999996E-7,3.5E-7,0.01913918544168368,0.7584371643745882
1.5E-7,3.2499999999999996E-7,4.0E-7,-0.016131685411979808,0.7584371643745824
1.5E-7,3.5E-7,1.0E-7,0.5071036821134215,0.7677976368928286
1.5E-7,3.5E-7,1.5E-7,0.3644833998056457,0.7677976368928563
1.5E-7,3.5E-7,2.0E-7,0.24433093769118885,0.767797636892856
