% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 27 2017, 14:52"
% Table,Probes 1 {tbl1} - 
% l,si_k,TBath,heater_w,sensor_w,"Dependent variable U (1), Effect Ratio {pev1}","Dependent variable T (1), Normal_Temp {pev2}"
3.4300000000000004E-7,386,150,5.0E-7,2.0E-7,0.12419459985413198,0.7978839194881059
3.4300000000000004E-7,386,150,5.0E-7,2.5E-7,0.13500156717417475,0.7880640765890483
3.4300000000000004E-7,386,150,5.0E-7,3.0E-7,0.1426315976153904,0.7787985278671719
6.64E-7,646,125,1.0E-7,1.0E-7,-0.0169901551610308,0.5827452104497827
6.64E-7,646,125,1.0E-7,1.5E-7,-0.01331408176734786,0.5691231200356427
6.64E-7,646,125,1.0E-7,2.0E-7,-0.010768750217141845,0.5570209698903259
6.64E-7,646,125,1.0E-7,2.5E-7,-0.008937601261829341,0.5460711912012095
6.64E-7,646,125,1.0E-7,3.0E-7,-0.007577364623119861,0.5360229704668956
6.64E-7,646,125,1.25E-7,1.0E-7,-0.027181710297828055,0.6239108776579845
6.64E-7,646,125,1.25E-7,1.5E-7,-0.021398909134718053,0.6101964295833127
6.64E-7,646,125,1.25E-7,2.0E-7,-0.017352505620368167,0.5979637097394215
6.64E-7,646,125,1.25E-7,2.5E-7,-0.014423423540753169,0.5868494165861086
6.64E-7,646,125,1.25E-7,3.0E-7,-0.012232067222728567,0.5766210118673557
6.64E-7,646,125,1.5E-7,1.0E-7,-0.0389489743017899,0.6558439952915759
6.64E-7,646,125,1.5E-7,1.5E-7,-0.030763973053704534,0.6421751141558499
6.64E-7,646,125,1.5E-7,2.0E-7,-0.025002909835475432,0.6299253662685884
6.64E-7,646,125,1.5E-7,2.5E-7,-0.020803312800085873,0.618762802944003
6.64E-7,646,125,1.5E-7,3.0E-7,-0.017645741661160966,0.60846138762533
6.64E-7,646,125,1.75E-7,1.0E-7,-0.05181774031240471,0.6815099367454232
6.64E-7,646,125,1.75E-7,1.5E-7,-0.04103922524137758,0.6679503152837144
6.64E-7,646,125,1.75E-7,2.0E-7,-0.033404078535766484,0.6557552200954299
6.64E-7,646,125,1.75E-7,2.5E-7,-0.027809248026775042,0.64461000951549
6.64E-7,646,125,1.75E-7,3.0E-7,-0.023584464330574244,0.6342993150322089
6.64E-7,646,125,2.0E-7,1.0E-7,-0.06537289230501536,0.7026905427484657
6.64E-7,646,125,2.0E-7,1.5E-7,-0.051881668836993064,0.6892774630276082
6.64E-7,646,125,2.0E-7,2.0E-7,-0.042272196125585665,0.6771756496125584
6.64E-7,646,125,2.0E-7,2.5E-7,-0.03519873522996442,0.6660866877944525
6.64E-7,646,125,2.0E-7,3.0E-7,-0.029837379279682462,0.6558051944376903
6.64E-7,646,125,2.25E-7,1.0E-7,-0.07925844357012216,0.7205303769775401
6.64E-7,646,125,2.25E-7,1.5E-7,-0.06299707566242972,0.7072843550065014
6.64E-7,646,125,2.25E-7,2.0E-7,-0.051370438788259094,0.6952945523552638
6.64E-7,646,125,2.25E-7,2.5E-7,-0.04275892090949764,0.6842894560604337
6.64E-7,646,125,2.25E-7,3.0E-7,-0.03621863040625539,0.6740614542350842
6.64E-7,646,125,2.5E-7,1.0E-7,-0.09318149676579411,0.7358022126997117
6.64E-7,646,125,2.5E-7,1.5E-7,-0.07414145394642643,0.7227338643288841
6.64E-7,646,125,2.5E-7,2.0E-7,-0.060458060246694624,0.7108772198321348
6.64E-7,646,125,2.5E-7,2.5E-7,-0.050310770422121134,0.6999629108409016
6.64E-7,646,125,2.5E-7,3.0E-7,-0.04257155369836512,0.6898039897349321
6.64E-7,646,125,2.75E-7,1.0E-7,-0.10690205485119322,0.7490500757863816
6.64E-7,646,125,2.75E-7,1.5E-7,-0.0851295480497549,0.7361614430318834
6.64E-7,646,125,2.75E-7,2.0E-7,-0.06939604268761025,0.7244443285574254
6.64E-7,646,125,2.75E-7,2.5E-7,-0.05770516048460394,0.7136337688632612
6.64E-7,646,125,2.75E-7,3.0E-7,-0.04876561267100671,0.7035539142815197
6.64E-7,646,125,3.0E-7,1.0E-7,-0.12022692302630833,0.76066981693804
6.64E-7,646,125,3.0E-7,1.5E-7,-0.09574784048231005,0.7479676329770492
6.64E-7,646,125,3.0E-7,2.0E-7,-0.07803336932365067,0.7363881885619428
6.64E-7,646,125,3.0E-7,2.5E-7,-0.06482069416205546,0.7256867309095941
6.64E-7,646,125,3.0E-7,3.0E-7,-0.05469429496388434,0.7156923496997225
6.64E-7,646,125,3.2499999999999996E-7,1.0E-7,-0.1330033227714612,0.7709569597107938
6.64E-7,646,125,3.2499999999999996E-7,1.5E-7,-0.10591662103412568,0.7584371643744219
6.64E-7,646,125,3.2499999999999996E-7,2.0E-7,-0.0862585251170576,0.7469994157145373
6.64E-7,646,125,3.2499999999999996E-7,2.5E-7,-0.07156047532074382,0.7364099742451422
6.64E-7,646,125,3.2499999999999996E-7,3.0E-7,-0.06027253645409696,0.7265050300314184
6.64E-7,646,125,3.5E-7,1.0E-7,-0.14511359503459445,0.7801377772876802
6.64E-7,646,125,3.5E-7,1.5E-7,-0.11551848743913797,0.7677976368929609
6.64E-7,646,125,3.5E-7,2.0E-7,-0.09398452174965784,0.7565012343492463
6.64E-7,646,125,3.5E-7,2.5E-7,-0.07784909889998817,0.7460249231547236
6.64E-7,646,125,3.5E-7,3.0E-7,-0.06543436192172979,0.7362116812291161
6.64E-7,646,125,3.75E-7,1.0E-7,-0.1564716609129852,0.7883883088793967
6.64E-7,646,125,3.75E-7,1.5E-7,-0.12447963981179036,0.7762240050963137
6.64E-7,646,125,3.75E-7,2.0E-7,-0.10114768826144258,0.765067424035276
6.64E-7,646,125,3.75E-7,2.5E-7,-0.08363105713929998,0.7547042484813881
6.64E-7,646,125,3.75E-7,3.0E-7,-0.07013128041986282,0.7449837070227694
6.64E-7,646,125,4.0E-7,1.0E-7,-0.1670174295370804,0.7958479236829618
6.64E-7,646,125,4.0E-7,1.5E-7,-0.13274774982330872,0.7838551535539418
6.64E-7,646,125,4.0E-7,2.0E-7,-0.10770266611625014,0.7728361046097989
6.64E-7,646,125,4.0E-7,2.5E-7,-0.08886708898540907,0.7625852165219853
6.64E-7,646,125,4.0E-7,3.0E-7,-0.07432922778252009,0.7529574839409223
6.64E-7,646,125,4.2499999999999995E-7,1.0E-7,-0.1767078265996589,0.802629239060237
6.64E-7,646,125,4.2499999999999995E-7,1.5E-7,-0.14028567982258047,0.7908031636371959
6.64E-7,646,125,4.2499999999999995E-7,2.0E-7,-0.11362953491808704,0.7799175676098798
6.64E-7,646,125,4.2499999999999995E-7,2.5E-7,-0.09352965382777487,0.7697788381787061
6.64E-7,646,125,4.2499999999999995E-7,3.0E-7,-0.07800461561232849,0.7602434075350084
6.64E-7,646,125,4.5E-7,1.0E-7,-0.1855202324024812,0.8088236424424572
6.64E-7,646,125,4.5E-7,1.5E-7,-0.14707322651010235,0.7971593556247296
6.64E-7,646,125,4.5E-7,2.0E-7,-0.11887490787207176,0.7864066843206705
6.64E-7,646,125,4.5E-7,2.5E-7,-0.09760422373778675,0.77637557638228
6.64E-7,646,125,4.5E-7,3.0E-7,-0.08114526266167055,0.7669314841750797
6.64E-7,646,125,4.75E-7,1.0E-7,-0.19344891655606974,0.8145061461524435
6.64E-7,646,125,4.75E-7,1.5E-7,-0.15310515011939857,0.8029985050224039
6.64E-7,646,125,4.75E-7,2.0E-7,-0.12347015068381866,0.7923741248564296
6.64E-7,646,125,4.75E-7,2.5E-7,-0.10108705523336566,0.7824498194755017
6.64E-7,646,125,4.75E-7,3.0E-7,-0.08374856492530629,0.7730957745133191
6.64E-7,646,125,5.0E-7,1.0E-7,-0.20049615332143714,0.8197395749772689
6.64E-7,646,125,5.0E-7,1.5E-7,-0.1583829180338354,0.80838351407262
6.64E-7,646,125,5.0E-7,2.0E-7,-0.12740486979309684,0.7978839194875056
6.64E-7,646,125,5.0E-7,2.5E-7,-0.10398031982770833,0.7880640765885761
6.64E-7,646,125,5.0E-7,3.0E-7,-0.08581737364761882,0.7787985278667926
9.830000000000002E-7,906,100,1.0E-7,1.0E-7,-0.018869202265690836,0.5827452104500438
9.830000000000002E-7,906,100,1.0E-7,1.5E-7,-0.015102571988214743,0.5691231200357307
9.830000000000002E-7,906,100,1.0E-7,2.0E-7,-0.012480319357434133,0.5570209698904984
9.830000000000002E-7,906,100,1.0E-7,2.5E-7,-0.010582347198360683,0.5460711912013205
9.830000000000002E-7,906,100,1.0E-7,3.0E-7,-0.0091633304223193,0.536022970467322
9.830000000000002E-7,906,100,1.25E-7,1.0E-7,-0.0305728616840398,0.6239108776581747
9.830000000000002E-7,906,100,1.25E-7,1.5E-7,-0.024622217816172607,0.6101964295836594
9.830000000000002E-7,906,100,1.25E-7,2.0E-7,-0.020433911996055296,0.5979637097396016
9.830000000000002E-7,906,100,1.25E-7,2.5E-7,-0.017382636907379415,0.5868494165864527
9.830000000000002E-7,906,100,1.25E-7,3.0E-7,-0.01508385781956951,0.5766210118673428
9.830000000000002E-7,906,100,1.5E-7,1.0E-7,-0.04440051779967556,0.6558439952917361
9.830000000000002E-7,906,100,1.5E-7,1.5E-7,-0.03593581545463851,0.6421751141559501
9.830000000000002E-7,906,100,1.5E-7,2.0E-7,-0.02994139464394166,0.6299253662686662
9.830000000000002E-7,906,100,1.5E-7,2.5E-7,-0.02554182328886789,0.6187628029441767
9.830000000000002E-7,906,100,1.5E-7,3.0E-7,-0.022209396352177703,0.608461387625374
9.830000000000002E-7,906,100,1.75E-7,1.0E-7,-0.05991448433752882,0.6815099367454797
9.830000000000002E-7,906,100,1.75E-7,1.5E-7,-0.0487052269876443,0.66795031528383
9.830000000000002E-7,906,100,1.75E-7,2.0E-7,-0.04071378938334287,0.6557552200956028
9.830000000000002E-7,906,100,1.75E-7,2.5E-7,-0.03481575993819592,0.6446100095156742
9.830000000000002E-7,906,100,1.75E-7,3.0E-7,-0.030327316179683237,0.634299315032272
9.830000000000002E-7,906,100,2.0E-7,1.0E-7,-0.07672480601349209,0.7026905427486153
9.830000000000002E-7,906,100,2.0E-7,1.5E-7,-0.0626073667632153,0.6892774630278075
9.830000000000002E-7,906,100,2.0E-7,2.0E-7,-0.05248393603013436,0.6771756496125847
9.830000000000002E-7,906,100,2.0E-7,2.5E-7,-0.04497596483754019,0.6660866877946392
9.830000000000002E-7,906,100,2.0E-7,3.0E-7,-0.03923878336731331,0.6558051944377792
9.830000000000002E-7,906,100,2.25E-7,1.0E-7,-0.0944897832666325,0.7205303769776663
9.830000000000002E-7,906,100,2.25E-7,1.5E-7,-0.07735822286467059,0.7072843550064174
9.830000000000002E-7,906,100,2.25E-7,2.0E-7,-0.06502444773335599,0.6952945523553677
9.830000000000002E-7,906,100,2.25E-7,2.5E-7,-0.05581476670410061,0.6842894560604407
9.830000000000002E-7,906,100,2.25E-7,3.0E-7,-0.048761489308795015,0.6740614542351043
9.830000000000002E-7,906,100,2.5E-7,1.0E-7,-0.11292152546299375,0.7358022126998593
9.830000000000002E-7,906,100,2.5E-7,1.5E-7,-0.09271582371070884,0.7227338643289053
9.830000000000002E-7,906,100,2.5E-7,2.0E-7,-0.07808804348798692,0.710877219832116
9.830000000000002E-7,906,100,2.5E-7,2.5E-7,-0.06715130694871664,0.6999629108411342
9.830000000000002E-7,906,100,2.5E-7,3.0E-7,-0.058735724131468534,0.6898039897350228
9.830000000000002E-7,906,100,2.75E-7,1.0E-7,-0.13177609326000841,0.7490500757863511
9.830000000000002E-7,906,100,2.75E-7,1.5E-7,-0.10849208286449741,0.7361614430320542
9.830000000000002E-7,906,100,2.75E-7,2.0E-7,-0.09153459591226899,0.7244443285574731
9.830000000000002E-7,906,100,2.75E-7,2.5E-7,-0.07882800440808095,0.7136337688633847
9.830000000000002E-7,906,100,2.75E-7,3.0E-7,-0.06902181654619323,0.7035539142815083
9.830000000000002E-7,906,100,3.0E-7,1.0E-7,-0.15084825471179633,0.7606698169382895
9.830000000000002E-7,906,100,3.0E-7,1.5E-7,-0.12445099578759336,0.7479676329770744
9.830000000000002E-7,906,100,3.0E-7,2.0E-7,-0.10519731811162378,0.7363881885621888
9.830000000000002E-7,906,100,3.0E-7,2.5E-7,-0.09070935166444807,0.7256867309096873
9.830000000000002E-7,906,100,3.0E-7,3.0E-7,-0.07949882682433344,0.7156923496999581
9.830000000000002E-7,906,100,3.2499999999999996E-7,1.0E-7,-0.16996589665340842,0.7709569597110427
9.830000000000002E-7,906,100,3.2499999999999996E-7,1.5E-7,-0.14050304334333158,0.7584371643745929
9.830000000000002E-7,906,100,3.2499999999999996E-7,2.0E-7,-0.1189455307024553,0.7469994157147717
9.830000000000002E-7,906,100,3.2499999999999996E-7,2.5E-7,-0.10267933660543023,0.7364099742452767
9.830000000000002E-7,906,100,3.2499999999999996E-7,3.0E-7,-0.09006270834994418,0.7265050300318439
9.830000000000002E-7,906,100,3.5E-7,1.0E-7,-0.188985794634102,0.7801377772879546
9.830000000000002E-7,906,100,3.5E-7,1.5E-7,-0.15650296419714063,0.7677976368929208
9.830000000000002E-7,906,100,3.5E-7,2.0E-7,-0.13266817194611644,0.7565012343493569
9.830000000000002E-7,906,100,3.5E-7,2.5E-7,-0.11463922773356376,0.746024923154897
9.830000000000002E-7,906,100,3.5E-7,3.0E-7,-0.10062469571566456,0.7362116812294506
9.830000000000002E-7,906,100,3.75E-7,1.0E-7,-0.20779140249930916,0.7883883088794236
9.830000000000002E-7,906,100,3.75E-7,1.5E-7,-0.17234825951821198,0.7762240050963229
9.830000000000002E-7,906,100,3.75E-7,2.0E-7,-0.1462742219064813,0.7650674240354071
9.830000000000002E-7,906,100,3.75E-7,2.5E-7,-0.12650712643478654,0.7547042484816342
9.830000000000002E-7,906,100,3.75E-7,3.0E-7,-0.11111076387050817,0.7449837070229477
9.830000000000002E-7,906,100,4.0E-7,1.0E-7,-0.22628820872450134,0.7958479236832074
9.830000000000002E-7,906,100,4.0E-7,1.5E-7,-0.1879544461156824,0.7838551535540801
9.830000000000002E-7,906,100,4.0E-7,2.0E-7,-0.15968794258009839,0.7728361046099506
9.830000000000002E-7,906,100,4.0E-7,2.5E-7,-0.13821481470033956,0.7625852165222148
